genes	baseMean	log2FoldChange	lfcSE	pvalue	padj
AC002044.3	AC002044.3	0.786255161303919	-0.0278164904904892	0.585318989969727	1	1
AC002056.1	AC002056.1	2.18105144481349	0.923999710551091	0.182973188337012	1.6340609460663e-07	4.5310150037349e-07
AC002059.1	AC002059.1	7.6729413518818	-0.304325759234286	0.155520118304956	0.0459683713375186	0.0689866943497282
AC002059.3	AC002059.3	7.45825741901556	0.14223706795651	0.157262336759219	0.356594407698515	0.43523792850487
AC002064.1	AC002064.1	8.432619304402	-0.654123640302488	0.219497532828385	0.00181006786848095	0.00333888223288279
AC002064.2	AC002064.2	15.6840242700948	-1.51280554115059	0.216773933756695	7.79619163164283e-13	3.22470546260876e-12
AC002066.1	AC002066.1	20.0290653160814	-3.18449536814246	0.281872793712169	2.0557193458149e-30	2.32865197516797e-29
AC002069.2	AC002069.2	1.01269570302177	0.49862644703471	0.65990749948609	0.346016927717378	0.423891112952926
AC002070.1	AC002070.1	17.4315630564017	0.296727492107096	0.125318192220739	0.0162204031849418	0.0262617112409223
AC002074.1	AC002074.1	12.1515295681632	0.316052862947757	0.187300652179901	0.0827714770054246	0.118056595454601
AC002075.2	AC002075.2	8.27404167062629	-0.0328645325575948	0.131088879538466	0.799321033291803	0.851727630912791
AC002091.1	AC002091.1	18.8027748196849	0.677332230220798	0.122825116586376	2.34842898443012e-08	6.98680836496771e-08
AC002091.2	AC002091.2	10.9061985401649	0.572765143277497	0.128569621687054	6.33046337409488e-06	1.52806523257706e-05
AC002094.4	AC002094.4	2.86541041142509	-0.702661119141366	0.189669232715843	0.000122720519945964	0.000259709843090719
AC002094.5	AC002094.5	4.0488247048367	-1.0190939099984	0.19452803056197	5.4193196264786e-08	1.56554679456311e-07
AC002116.2	AC002116.2	10.4848517090579	0.721190381791951	0.130789427226872	2.15693590613585e-08	6.42791255755409e-08
AC002128.1	AC002128.1	28.1589099804342	0.248644131910262	0.118612778726967	0.0337702763128148	0.0519029040331462
AC002128.2	AC002128.2	8.61157169743459	0.182322543193068	0.150144542179582	0.215158500448542	0.279211814485641
AC002306.1	AC002306.1	0.820292488319566	-0.324797389100886	0.455017118735793	0.411355884496991	0.492621342156923
AC002310.1	AC002310.1	59.5551179864902	-0.00824527182126631	0.0847457531513658	0.921002516732095	0.946123685709363
AC002310.2	AC002310.2	0.904789250860311	1.4306310647971	0.489937512467807	0.00164086319253078	0.00304407106981331
AC002310.3	AC002310.3	2.22967960123244	0.453834868087821	0.173201437633691	0.00684936506416988	0.011734137261753
AC002310.5	AC002310.5	63.01949576401	0.339187836031228	0.0877224994805385	0.000102028372639629	0.000217717576684999
AC002347.1	AC002347.1	1.97625601100888	-1.12626133482937	0.18907998544367	6.8850940460787e-10	2.30688158161604e-09
AC002347.2	AC002347.2	1.371934250087	-0.785893695133069	0.26583683467931	0.0023728818744748	0.00431338820307383
AC002350.2	AC002350.2	23.4052296552701	0.202998985077198	0.0991064554650345	0.0392369085226808	0.0596079414882344
